case,abdb_read_mean,abdb_read_std,abdb_write_mean,abdb_write_std,redis_read_mean,redis_read_std,redis_write_mean,redis_write_std
bad_redis_scenario_stdev_9.814954576223638.csv,1.8197086507346392,2.1347930880830637,2.3728277118983283,2.036083854795803,6.7032877746574755,1.634616236728682,6.703282796752299,1.5337285338075715
good_redis_scenario_stdev_3.7859388972001824.csv,4.361415347252317,3.7973814250975435,4.945238398957773,3.803615144460307,3.5646283011063806,3.5677131956994095,3.5907706931545817,3.5875699510820698
bad_redis_scenario_stdev_2.309401076758503.csv,3.897987398472677,2.981784857445635,4.43753868203125,3.00817367215903,6.059857971509758,2.874528330951163,6.076378164656141,2.8794457842609846
bad_redis_scenario_stdev_5.507570547286102.csv,2.7917281777254863,2.595659508723049,3.3310961325598276,2.4588205681963595,6.954853713745012,1.7201506775525752,6.957952140015258,1.6830934947886946
good_redis_scenario_stdev_1.1547005383792515.csv,5.072605384349167,3.715834131702981,5.6326068745733195,3.661762988242867,4.629061821050373,3.5004682527845237,4.648415135175559,3.5155408628769327
bad_redis_scenario_stdev_0.5773502691896257.csv,4.499763622006906,3.220177345328306,5.070818753597058,3.2572353737078337,5.346903911971354,3.336545888531111,5.350701831648348,3.314294746788595
good_redis_scenario_stdev_6.027713773341708.csv,3.755775461474214,3.8129697625447165,4.305703807057031,3.708287412239381,2.977822576490249,3.639063276367755,2.97853711861979,3.5882334573216186
bad_redis_scenario_stdev_4.932882862316247.csv,1.691603913659409,2.5327759532842156,2.2668984175406557,2.440848795628927,0.32380787715647047,0.02986268281899626,0.3335982947882857,0.03270106928277031
good_redis_scenario_stdev_7.234178138070234.csv,3.196843953727058,3.449486580440609,3.755138079285871,3.4372554543172353,2.1814020122527564,3.2210695338323263,2.1812643521553277,3.1850148481354665
good_redis_scenario_stdev_4.618802153517006.csv,3.930517800363246,3.632214198110193,4.533035240663274,3.6279033840960295,3.198969089309127,3.5140787027254534,3.1997583471374678,3.491913769202801
good_redis_scenario_stdev_4.725815626252608.csv,3.952785707841214,3.7777128544657272,4.5773557548109345,3.839086130127982,3.2460714593367195,3.540929217418034,3.2716015379676104,3.58717806636418
bad_redis_scenario_stdev_2.8867513459481287.csv,3.6498115429928175,2.9347859548294855,4.272400673652051,3.194945039001917,5.572802555701067,3.0382448701044127,5.575692552763958,3.0279692979904347
bad_redis_scenario_stdev_4.041451884327381.csv,3.451345509962228,2.6460977855526275,4.007666501458625,2.6750256565742934,6.724573130627526,2.2274189145880254,6.721126393475926,2.1878330892299225
good_redis_scenario_stdev_3.0550504633038935.csv,4.63453914789025,3.8962523092743147,5.21320047430797,3.8586472758733827,3.9735754347237053,3.6191787705333276,3.9806007916354376,3.631864247719118
bad_redis_scenario_stdev_8.144527815247077.csv,2.1981844988442667,2.17921992360397,2.802784179416118,2.2929475298559026,6.802220362525584,1.6267969896461933,6.836133446762239,1.7085016242423616
bad_redis_scenario_stdev_3.7859388972001824.csv,3.4790915774057747,2.8835112487526553,4.055430084053826,2.871096488997536,5.905508481091778,2.814819550026176,5.9168355251167,2.8149413121704994
good_redis_scenario_stdev_5.686240703077327.csv,3.624679203151567,3.8473587717416424,4.31530625867152,4.508188369127314,2.952721992992205,3.6549371392055057,2.96007130007441,3.6654357065434127
bad_redis_scenario_stdev_3.5118845842842465.csv,3.349178625580696,3.2077982738442508,3.880501686488372,3.1505462850026755,6.337776614297742,2.6564885109810765,6.325107270842317,2.6130331374883378
good_redis_scenario_stdev_7.371114795831994.csv,2.940462579193093,3.521867245895168,3.501121668883682,3.489958726560988,2.2213481454699933,3.207284022681418,2.248270293457362,3.2517676360312047
good_redis_scenario_stdev_4.041451884327381.csv,4.641665671028749,4.026689115396478,5.139084563663806,3.7691019375257677,4.481621390731168,3.73790570801542,4.503209903032904,3.7688244330402263
good_redis_scenario_stdev_6.6583281184793925.csv,3.3279026566334418,3.655288109695233,3.8831367091247775,3.5496444842159804,2.558239136353468,3.4352873366243277,2.5730928070222294,3.432792331806859
repeated_good_redis_scenario_stdev_6.6583281184793925.csv,3.1585065948311724,3.558771851974604,3.754071019157286,3.7721936381949153,2.5922572745326176,3.4247603610127397,2.6072997655631025,3.4425963144046956
good_redis_scenario_stdev_3.5118845842842465.csv,4.934943616822803,6.271226751997921,5.4809118589915595,9.060941580362114,4.042110768854414,3.681534036028929,4.0607188572274024,3.720722193121872
bad_redis_scenario_stdev_5.033222956847167.csv,2.752953881623104,2.591003460611396,3.2951413567273433,2.4889664378053795,6.560820021055861,2.1381681558276213,6.559306587616221,2.130506303680537
bad_redis_scenario_stdev_2.516611478423583.csv,3.610444680506253,2.876479629234867,4.156669249807474,2.7815719113641753,6.063203691328536,3.04741353691815,6.068011683682643,3.2863617933297453
bad_redis_scenario_stdev_4.618802153517006.csv,2.9896574660881168,2.8858116059771985,3.5771782275515998,2.9409793247317824,5.825778958539281,2.7810705812655097,5.831683615241821,2.777722224482511
good_redis_scenario_stdev_5.507570547286102.csv,3.9598015543722753,3.8607718324688642,4.588623196900378,4.248767304144876,3.3827395022199176,3.694454280032183,3.4174292273772062,3.7908517464162372
bad_redis_scenario_stdev_6.350852961085883.csv,2.6159219641244054,3.072608162284453,3.153640870005338,2.753108555087133,6.2320615247471896,2.822220215595076,6.214295863989557,2.6501236513447406
good_redis_scenario_stdev_5.033222956847167.csv,4.10722719462529,4.624310577728546,4.642734776798347,4.295288523873079,3.3040740210106745,3.6714342280141983,3.341279329993142,3.7534061041202977
bad_redis_scenario_stdev_8.082903768654761.csv,2.2864307302351925,2.4279760282022047,2.9007216731753815,2.504351144715819,6.454610497516186,2.1513026050414266,6.494147301753757,2.2436009660780245
bad_redis_scenario_stdev_5.686240703077327.csv,2.720211673002832,2.4521377655007233,3.3171100099603033,2.5171460354957067,6.502365806937881,2.1101802698341325,6.525982185622786,2.13729265957327
good_redis_scenario_stdev_0.5773502691896257.csv,4.724599529007227,3.809555576617918,5.270741618312496,3.7698245764212257,5.07903429141079,4.093699895143607,5.05250677492502,3.9433953518105334
good_redis_scenario_stdev_1.5275252316519465.csv,5.199099896574261,4.47956677244897,5.744697620035964,4.111786572499395,4.817524197742916,4.237340713148723,4.809505746464744,4.101363027944548
good_redis_scenario_stdev_2.0816659994661326.csv,4.859183249211468,3.7834540631957188,5.4081383302009725,3.68035874853613,4.318487086467766,3.703766766947058,4.329058488183443,3.6699931533425043
